brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
5f35a0babe37ce6853cff202,5332fa12e4b03c9a25efd1e7,511111315391,Candy & Sweets,CANDY_AND_SWEETS,test brand @1597350074997,True,TEST BRANDCODE @1597350074997
5f4a64ebbe37ce17d23b317d,5332fa12e4b03c9a25efd1e7,511111916239,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598711019491,True,TEST BRANDCODE @1598711019491
5f4bf53dbe37ce0b44915541,5f4bf53dbe37ce0b44915540,511111116318,Baking,BAKING,test brand @1598813501461,True,
5332fa08e4b03c9a25efd1d9,5332f5f2e4b03c9a25efd0aa,511111403128,,,Raisin Bran,True,
5d66e07da3a018093ab3472d,5332f5fbe4b03c9a25efd0ba,511111205500,Beverages,,Sierra Mist,True,SIERRA MIST
5f4cff24a475f1050a66b56b,5332fa12e4b03c9a25efd1e7,511111016410,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598881572443,True,TEST BRANDCODE @1598881572443
5f43faabbe37ce3ef3fd3718,5f43faabbe37ce3ef3fd3714,511111015741,Baking,BAKING,test brand @1598290603646,True,TEST BRANDCODE @1598290603646
5f513ea1be37ce21f1287c05,5f513ea0be37ce21f1287c01,511111616535,Baking,BAKING,test brand @1599159969108,True,TEST BRANDCODE @1599159969108
5332f769e4b03c9a25efd121,5332f5ebe4b03c9a25efd0a8,511111803676,,,Glaceau smartwater,True,
5332f7afe4b03c9a25efd13c,5332f7a7e4b03c9a25efd134,511111703495,,,LandShark,True,
5fb82f87be37ce522e165ce8,5fb6b608be37ce522e165cb9,511111917830,Bread & Bakery,BREAD_AND_BAKERY,Oroweat,False,OROWEAT
5332f7a8e4b03c9a25efd135,5332f7a7e4b03c9a25efd134,511111403562,,,Bud Light,True,
585a96eee4b03e62d1ce0e8c,5332f5fbe4b03c9a25efd0ba,511111701576,Snacks,,Rold Gold,True,ROLD GOLD
60074277be37ce360be63a02,60074277be37ce360be639fe,511111119838,Baking,BAKING,test brand @1611088503815,False,TEST BRANDCODE @1611088503815
5f872b80be37ce66db5dd979,5f872b7fbe37ce66db5dd975,511111717034,Baking,BAKING,test brand @1602694015991,True,TEST BRANDCODE @1602694015992
5f208daebe37ce7958c59521,5f208daebe37ce7958c59520,511111815174,Baking,BAKING,test brand @1595968942895,True,TEST BRANDCODE @1595968942896
5ab1314de4b0915382df761a,5a734034e4b0d58f376be874,511111104308,Beverages,,V8 Splash,False,V8 SPLASH
5bd2016990fa074576779a18,550b2565e4b001d5e9e4146f,511111404675,Personal Care,,Kotex,False,KOTEX
5d64191ea3a018514994f42b,5d5d4fd16d5f3b23d1bc7905,511111505082,Magazines,,Midwest Living,True,511111505082
58863e28e4b02187f85cdacf,559c2234e4b06aca36af13c6,511111901211,Deli,,Oscar Mayer Carving Board,True,
5d66df24a3a018093ab3472b,5332f5fbe4b03c9a25efd0ba,511111405467,Beverages,,Ocean Spray Juices,True,OCEAN SPRAY
5da608f61dda2c3e1416ae8e,53e10d6368abd3c7065097cc,511111305798,Health & Wellness,,ONE A DAY® ESSENTIAL,True,511111305798
